년,월,20세  이하,21 - 30 세,31 - 40 세,41 - 50 세,51 - 60 세,61세  이상,승무원
2018,1,"75,162","244,706","222,457","153,900","119,587","72,280","67,944"
2018,2,"105,104","281,742","224,125","169,186","128,404","75,732","61,122"
2018,3,"132,869","354,209","293,052","216,058","176,522","120,710","72,680"
2018,4,"87,706","309,195","300,869","210,037","186,146","153,810","83,946"
2018,5,"77,968","299,161","271,514","194,196","172,166","137,084","85,932"
2018,6,"128,183","315,499","271,103","202,267","165,374","119,954","79,713"
2018,7,"188,127","288,227","248,997","205,359","149,779","99,631","74,713"
2018,8,"222,446","345,341","263,416","217,090","158,837","105,903","78,694"
2018,9,"95,226","349,991","276,077","186,398","169,029","124,713","77,170"
2018,10,"88,408","370,551","335,247","235,556","221,735","187,773","88,562"
2018,11,"85,020","334,432","297,766","220,959","193,478","141,249","77,486"
2018,12,"156,546","341,704","280,609","210,664","159,376","101,280","73,940"
2019,1,"110,217","275,925","241,435","169,018","132,619","96,329","79,260"
2019,2,"116,934","331,472","263,174","182,963","144,830","93,040","69,389"
2019,3,"150,074","389,904","321,264","230,985","200,310","160,000","83,104"
2019,4,"124,359","371,597","365,298","251,225","223,030","201,065","98,492"
2019,5,"96,981","355,340","330,804","223,868","203,232","177,810","97,649"
2019,6,"151,123","366,645","321,241","227,462","184,956","140,730","84,061"
2019,7,"223,886","338,386","294,658","229,796","164,816","115,959","80,566"
2019,8,"254,657","388,519","306,222","237,245","170,298","119,538","109,820"
2019,9,"101,350","395,973","334,089","207,976","187,687","148,997","83,592"
2019,10,"106,761","419,644","370,962","242,953","227,597","194,028","94,250"
2019,11,"92,141","369,001","336,528","226,059","199,121","154,136","79,443"
2019,12,"144,551","367,569","336,164","225,284","175,466","128,407","79,447"
2020,1,"129,410","306,931","301,687","194,055","151,065","110,240","79,320"
2020,2,"44,270","209,971","140,960","101,673","84,460","51,418","52,460"
2020,3,"3,903","26,929","16,262","8,654","6,737","4,227","16,785"
2020,4,"1,813","8,988","4,013","2,258","1,822","1,295","9,226"
2020,5,"1,919","5,191","4,135","2,897","2,465","1,390","12,809"
2020,6,"2,698","6,053","5,776","3,979","3,176","1,668","13,588"
2020,7,"2,934","7,439","7,872","5,734","4,337","2,073","30,623"
2020,8,"5,414","14,574","6,280","4,527","4,345","2,309","31,348"
2020,9,"3,611","10,073","6,685","4,870","4,476","2,601","32,724"
2020,10,"1,791","6,714","6,628","5,160","4,730","2,920","33,642"
2020,11,"2,698","7,110","6,435","4,660","3,984","2,438","34,439"
2020,12,"2,951","6,807","6,299","4,294","3,272","1,678","37,043"
2021,1,"1,673","5,822","6,186","4,175","3,909","1,755","34,877"
2021,2,"3,579","14,740","6,845","4,253","3,917","1,659","30,589"
