,,,계,,남성,,여성,,승무원
연도,대륙,국적,인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%)
"2019","아시아","중국","6,023,021","34.41","2,236,402","33.04","3,627,467","37.41","159,152","15.32"
"2019","아시아","일본","3,271,706","18.69","1,125,545","16.63","2,115,354","21.82","30,807","2.96"
"2019","아시아","대만","1,260,493","7.20","409,201","6.05","840,153","8.67","11,139","1.07"
"2019","아시아","홍콩","694,934","3.97","232,545","3.44","452,370","4.67","10,019","0.96"
"2019","아시아","마카오","52,462","0.30","16,018","0.24","36,343","0.37","101","0.01"
"2019","아시아","필리핀","503,867","2.88","151,617","2.24","161,147","1.66","191,103","18.39"
"2019","아시아","인도네시아","278,575","1.59","107,215","1.58","113,481","1.17","57,879","5.57"
"2019","아시아","태국","571,610","3.27","167,220","2.47","338,495","3.49","65,895","6.34"
"2019","아시아","베트남","553,731","3.16","230,005","3.40","262,069","2.70","61,657","5.93"
"2019","아시아","인도","143,367","0.82","74,407","1.10","17,619","0.18","51,341","4.94"
"2019","아시아","말레이시아","408,590","2.33","151,422","2.24","229,840","2.37","27,328","2.63"
"2019","아시아","싱가포르","246,142","1.41","98,813","1.46","132,258","1.36","15,071","1.45"
"2019","아시아","몽골","113,599","0.65","53,073","0.78","60,036","0.62","490","0.05"
"2019","아시아","우즈베키스탄","88,276","0.50","61,083","0.90","20,997","0.22","6,196","0.60"
"2019","아시아","미얀마","73,722","0.42","32,033","0.47","7,260","0.07","34,429","3.31"
"2019","아시아","GCC","35,054","0.20","20,217","0.30","14,261","0.15","576","0.06"
"2019","아시아","카자흐스탄","52,966","0.30","22,298","0.33","26,989","0.28","3,679","0.35"
"2019","아시아","터키","31,293","0.18","12,749","0.19","6,488","0.07","12,056","1.16"
"2019","아시아","캄보디아","41,734","0.24","27,141","0.40","13,874","0.14","719","0.07"
"2019","아시아","스리랑카","18,338","0.10","14,319","0.21","1,379","0.01","2,640","0.25"
"2019","아시아","방글라데시","17,952","0.10","13,313","0.20","1,555","0.02","3,084","0.30"
"2019","아시아","파키스탄","13,721","0.08","11,439","0.17","1,686","0.02","596","0.06"
"2019","아시아","이스라엘","17,102","0.10","10,707","0.16","6,250","0.06","145","0.01"
"2019","아시아","이란","4,294","0.02","2,785","0.04","1,262","0.01","247","0.02"
"2019","아시아","아시아 기타","73,929","0.42","48,452","0.72","19,616","0.20","5,861","0.56"
"2019","아시아 소계","","14,590,478","83.36","5,330,019","78.75","8,508,249","87.76","752,210","72.39"
"2019","아메리카","미국","1,044,038","5.96","527,605","7.80","451,462","4.66","64,971","6.25"
"2019","아메리카","캐나다","205,408","1.17","95,334","1.41","94,267","0.97","15,807","1.52"
"2019","아메리카","브라질","23,788","0.14","10,953","0.16","9,027","0.09","3,808","0.37"
"2019","아메리카","멕시코","30,481","0.17","13,061","0.19","11,761","0.12","5,659","0.54"
"2019","아메리카","아메리카 기타","41,943","0.24","18,670","0.28","16,130","0.17","7,143","0.69"
"2019","아메리카 소계","","1,345,658","7.69","665,623","9.83","582,647","6.01","97,388","9.37"
"2019","유럽","러시아","343,057","1.96","140,256","2.07","142,604","1.47","60,197","5.79"
"2019","유럽","영국","143,676","0.82","82,451","1.22","51,259","0.53","9,966","0.96"
"2019","유럽","독일","120,730","0.69","74,013","1.09","35,250","0.36","11,467","1.10"
"2019","유럽","프랑스","110,794","0.63","60,543","0.89","41,448","0.43","8,803","0.85"
"2019","유럽","이탈리아","49,344","0.28","28,389","0.42","11,455","0.12","9,500","0.91"
"2019","유럽","네덜란드","39,138","0.22","22,311","0.33","11,273","0.12","5,554","0.53"
"2019","유럽","우크라이나","27,667","0.16","8,214","0.12","3,819","0.04","15,634","1.50"
"2019","유럽","스페인","30,656","0.18","17,644","0.26","11,028","0.11","1,984","0.19"
"2019","유럽","루마니아","12,781","0.07","4,372","0.06","2,507","0.03","5,902","0.57"
"2019","유럽","노르웨이","11,770","0.07","7,304","0.11","4,055","0.04","411","0.04"
"2019","유럽","스웨덴","19,709","0.11","11,616","0.17","7,391","0.08","702","0.07"
"2019","유럽","폴란드","23,913","0.14","9,919","0.15","6,849","0.07","7,145","0.69"
"2019","유럽","스위스","17,847","0.10","10,798","0.16","6,475","0.07","574","0.06"
"2019","유럽","포르투갈","11,425","0.07","5,079","0.08","5,103","0.05","1,243","0.12"
"2019","유럽","오스트리아","12,570","0.07","7,488","0.11","3,660","0.04","1,422","0.14"
"2019","유럽","핀란드","13,912","0.08","5,751","0.08","3,852","0.04","4,309","0.41"
"2019","유럽","벨기에","14,539","0.08","8,679","0.13","4,581","0.05","1,279","0.12"
"2019","유럽","크로아티아","5,962","0.03","2,543","0.04","567","0.01","2,852","0.27"
"2019","유럽","그리스","9,756","0.06","5,662","0.08","1,314","0.01","2,780","0.27"
"2019","유럽","불가리아","6,536","0.04","2,258","0.03","1,245","0.01","3,033","0.29"
"2019","유럽","덴마크","13,453","0.08","8,037","0.12","4,306","0.04","1,110","0.11"
"2019","유럽","아일랜드","10,211","0.06","6,305","0.09","3,158","0.03","748","0.07"
"2019","유럽","유럽 기타","45,810","0.26","19,824","0.29","13,513","0.14","12,473","1.20"
"2019","유럽 소계","","1,095,256","6.26","549,456","8.12","376,712","3.89","169,088","16.27"
"2019","오세아니아","오스트레일리아","173,218","0.99","87,782","1.30","80,958","0.84","4,478","0.43"
"2019","오세아니아","뉴질랜드","38,954","0.22","20,201","0.30","16,875","0.17","1,878","0.18"
"2019","오세아니아","오세아니아 기타","5,819","0.03","2,877","0.04","1,952","0.02","990","0.10"
"2019","오세아니아 소계","","217,991","1.25","110,860","1.64","99,785","1.03","7,346","0.71"
"2019","아프리카","남아프리카공화국","13,144","0.08","5,495","0.08","5,197","0.05","2,452","0.24"
"2019","아프리카","아프리카 기타","47,115","0.27","27,306","0.40","9,334","0.10","10,475","1.01"
"2019","아프리카 소계","","60,259","0.34","32,801","0.48","14,531","0.15","12,927","1.24"
"2019","기타","국적미상","612","0.00","328","0.00","170","0.00","114","0.01"
"2019","기타 소계","","612","0.00","328","0.00","170","0.00","114","0.01"
"2019","교포","교포","192,502","1.10","79,216","1.17","113,286","1.17","0","0.00"
"2019","교포 소계","","192,502","1.10","79,216","1.17","113,286","1.17","0","0.00"
"2019 소계","","","17,502,756","100.00","6,768,303","100.00","9,695,380","100.00","1,039,073","100.00"
"총 합계","","","17,502,756","0.00","6,768,303","0.00","9,695,380","0.00","1,039,073","0.00"
