대륙,국적,인원수
아시아,중국,4893429 
아시아,일본,3179436 
아시아,대만,1238842 
아시아,홍콩,679916 
아시아,마카오,51926 
아시아,필리핀,285080 
아시아,인도네시아,192606 
아시아,태국,484496 
아시아,베트남,391836 
아시아,인도,44943 
아시아,말레이시아,373410 
아시아,싱가포르,226722 
아시아,몽골,90927 
아시아,우즈베키스탄,35664 
아시아,미얀마,21277 
아시아,GCC,32240 
아시아,카자흐스탄,34943 
아시아,터키,16964 
아시아,캄보디아,17033 
아시아,스리랑카,3363 
아시아,방글라데시,3137 
아시아,파키스탄,3961 
아시아,이스라엘,16309 
아시아,이란,2434 
아시아,아시아 기타,32323 
아메리카,미국,809004 
아메리카,캐나다,152834 
아메리카,브라질,18209 
아메리카,멕시코,23319 
아메리카,아메리카 기타,31545 
유럽,러시아,250571 
유럽,영국,120840 
유럽,독일,97582 
유럽,프랑스,88189 
유럽,이탈리아,36558 
유럽,네덜란드,30455 
유럽,우크라이나,8215 
유럽,스페인,26087 
유럽,루마니아,6454 
유럽,노르웨이,10162 
유럽,스웨덴,17277 
유럽,폴란드,15621 
유럽,스위스,16111 
유럽,포르투갈,9671 
유럽,오스트리아,10169 
유럽,핀란드,8724 
유럽,벨기에,11875 
유럽,크로아티아,2880 
유럽,그리스,6449 
유럽,불가리아,3224 
유럽,덴마크,10970 
유럽,아일랜드,8085 
유럽,유럽 기타,29836 
오세아니아,오스트레일리아,154954 
오세아니아,뉴질랜드,31214 
오세아니아,오세아니아 기타,4547 
아프리카,남아프리카공화국,7008 
아프리카,아프리카 기타,20006 
