,,,계,,20세  이하,,21 - 30 세,,31 - 40 세,,41 - 50 세,,51 - 60 세,,61세  이상,,승무원
연도,대륙,국적,인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%)
"2019","아시아","중국","6,023,021","34.41","376,823","22.52","1,727,037","39.52","1,655,512","43.32","783,808","29.52","696,959","31.48","623,730","36.05","159,152","15.32"
"2019","아시아","일본","3,271,706","18.69","396,472","23.70","926,716","21.21","504,754","13.21","572,617","21.57","486,538","21.98","353,802","20.45","30,807","2.96"
"2019","아시아","대만","1,260,493","7.20","173,791","10.39","275,560","6.31","292,380","7.65","240,325","9.05","154,649","6.99","112,649","6.51","11,139","1.07"
"2019","아시아","홍콩","694,934","3.97","95,326","5.70","144,255","3.30","128,450","3.36","128,601","4.84","115,668","5.22","72,615","4.20","10,019","0.96"
"2019","아시아","마카오","52,462","0.30","7,995","0.48","14,400","0.33","13,173","0.34","7,203","0.27","5,684","0.26","3,906","0.23","101","0.01"
"2019","아시아","필리핀","503,867","2.88","36,778","2.20","80,160","1.83","80,592","2.11","56,394","2.12","36,517","1.65","22,323","1.29","191,103","18.39"
"2019","아시아","인도네시아","278,575","1.59","30,524","1.82","60,887","1.39","52,846","1.38","38,733","1.46","24,609","1.11","13,097","0.76","57,879","5.57"
"2019","아시아","태국","571,610","3.27","49,310","2.95","154,754","3.54","140,989","3.69","80,278","3.02","50,000","2.26","30,384","1.76","65,895","6.34"
"2019","아시아","베트남","553,731","3.16","63,880","3.82","137,237","3.14","127,744","3.34","75,589","2.85","58,062","2.62","29,562","1.71","61,657","5.93"
"2019","아시아","인도","143,367","0.82","5,004","0.30","22,185","0.51","33,034","0.86","19,349","0.73","8,566","0.39","3,888","0.22","51,341","4.94"
"2019","아시아","말레이시아","408,590","2.33","58,928","3.52","100,381","2.30","82,539","2.16","61,421","2.31","48,321","2.18","29,672","1.72","27,328","2.63"
"2019","아시아","싱가포르","246,142","1.41","37,099","2.22","50,488","1.16","42,398","1.11","44,918","1.69","34,272","1.55","21,896","1.27","15,071","1.45"
"2019","아시아","몽골","113,599","0.65","15,099","0.90","21,582","0.49","34,303","0.90","25,582","0.96","12,156","0.55","4,387","0.25","490","0.05"
"2019","아시아","우즈베키스탄","88,276","0.50","5,488","0.33","24,529","0.56","28,341","0.74","14,728","0.55","5,729","0.26","3,265","0.19","6,196","0.60"
"2019","아시아","미얀마","73,722","0.42","1,436","0.09","16,041","0.37","13,470","0.35","5,113","0.19","2,370","0.11","863","0.05","34,429","3.31"
"2019","아시아","GCC","35,054","0.20","6,938","0.41","9,428","0.22","8,907","0.23","4,833","0.18","3,110","0.14","1,262","0.07","576","0.06"
"2019","아시아","카자흐스탄","52,966","0.30","6,858","0.41","14,228","0.33","11,919","0.31","7,771","0.29","5,067","0.23","3,444","0.20","3,679","0.35"
"2019","아시아","터키","31,293","0.18","1,141","0.07","5,189","0.12","6,050","0.16","3,986","0.15","1,867","0.08","1,004","0.06","12,056","1.16"
"2019","아시아","캄보디아","41,734","0.24","3,367","0.20","19,579","0.45","11,437","0.30","2,898","0.11","2,024","0.09","1,710","0.10","719","0.07"
"2019","아시아","스리랑카","18,338","0.10","342","0.02","6,168","0.14","6,398","0.17","1,772","0.07","763","0.03","255","0.01","2,640","0.25"
"2019","아시아","방글라데시","17,952","0.10","651","0.04","5,334","0.12","5,487","0.14","2,132","0.08","985","0.04","279","0.02","3,084","0.30"
"2019","아시아","파키스탄","13,721","0.08","792","0.05","4,198","0.10","4,576","0.12","2,195","0.08","1,059","0.05","305","0.02","596","0.06"
"2019","아시아","이스라엘","17,102","0.10","1,042","0.06","2,589","0.06","2,819","0.07","3,270","0.12","2,648","0.12","4,589","0.27","145","0.01"
"2019","아시아","이란","4,294","0.02","365","0.02","750","0.02","1,517","0.04","781","0.03","452","0.02","182","0.01","247","0.02"
"2019","아시아","아시아 기타","73,929","0.42","5,463","0.33","25,157","0.58","20,929","0.55","9,439","0.36","4,971","0.22","2,109","0.12","5,861","0.56"
"2019","아시아 소계","","14,590,478","83.36","1,380,912","82.54","3,848,832","88.07","3,310,564","86.62","2,193,736","82.63","1,763,046","79.63","1,341,178","77.52","752,210","72.39"
"2019","아메리카","미국","1,044,038","5.96","132,250","7.90","168,488","3.86","167,830","4.39","163,357","6.15","177,319","8.01","169,823","9.82","64,971","6.25"
"2019","아메리카","캐나다","205,408","1.17","20,250","1.21","39,927","0.91","35,449","0.93","28,713","1.08","33,731","1.52","31,531","1.82","15,807","1.52"
"2019","아메리카","브라질","23,788","0.14","1,920","0.11","5,205","0.12","5,720","0.15","3,432","0.13","1,998","0.09","1,705","0.10","3,808","0.37"
"2019","아메리카","멕시코","30,481","0.17","2,373","0.14","7,071","0.16","6,305","0.16","3,873","0.15","3,070","0.14","2,130","0.12","5,659","0.54"
"2019","아메리카","아메리카 기타","41,943","0.24","2,625","0.16","10,194","0.23","9,720","0.25","5,522","0.21","3,769","0.17","2,970","0.17","7,143","0.69"
"2019","아메리카 소계","","1,345,658","7.69","159,418","9.53","230,885","5.28","225,024","5.89","204,897","7.72","219,887","9.93","208,159","12.03","97,388","9.37"
"2019","유럽","러시아","343,057","1.96","39,073","2.34","68,300","1.56","73,179","1.91","50,534","1.90","33,620","1.52","18,154","1.05","60,197","5.79"
"2019","유럽","영국","143,676","0.82","10,695","0.64","29,329","0.67","27,138","0.71","22,162","0.83","23,307","1.05","21,079","1.22","9,966","0.96"
"2019","유럽","독일","120,730","0.69","9,641","0.58","23,592","0.54","24,116","0.63","20,158","0.76","20,780","0.94","10,976","0.63","11,467","1.10"
"2019","유럽","프랑스","110,794","0.63","12,151","0.73","29,486","0.67","21,188","0.55","18,002","0.68","13,178","0.60","7,986","0.46","8,803","0.85"
"2019","유럽","이탈리아","49,344","0.28","2,079","0.12","7,599","0.17","10,014","0.26","10,140","0.38","6,929","0.31","3,083","0.18","9,500","0.91"
"2019","유럽","네덜란드","39,138","0.22","3,187","0.19","8,424","0.19","6,031","0.16","6,319","0.24","6,255","0.28","3,368","0.19","5,554","0.53"
"2019","유럽","우크라이나","27,667","0.16","852","0.05","3,744","0.09","3,583","0.09","2,121","0.08","1,331","0.06","402","0.02","15,634","1.50"
"2019","유럽","스페인","30,656","0.18","2,071","0.12","7,089","0.16","7,627","0.20","6,287","0.24","3,588","0.16","2,010","0.12","1,984","0.19"
"2019","유럽","루마니아","12,781","0.07","378","0.02","1,619","0.04","2,264","0.06","1,404","0.05","893","0.04","321","0.02","5,902","0.57"
"2019","유럽","노르웨이","11,770","0.07","1,223","0.07","2,962","0.07","2,072","0.05","2,069","0.08","1,925","0.09","1,108","0.06","411","0.04"
"2019","유럽","스웨덴","19,709","0.11","1,979","0.12","5,213","0.12","3,458","0.09","3,613","0.14","3,091","0.14","1,653","0.10","702","0.07"
"2019","유럽","폴란드","23,913","0.14","1,289","0.08","4,743","0.11","5,117","0.13","3,184","0.12","1,476","0.07","959","0.06","7,145","0.69"
"2019","유럽","스위스","17,847","0.10","1,753","0.10","4,312","0.10","3,096","0.08","2,889","0.11","3,110","0.14","2,113","0.12","574","0.06"
"2019","유럽","포르투갈","11,425","0.07","954","0.06","2,333","0.05","2,536","0.07","2,042","0.08","1,466","0.07","851","0.05","1,243","0.12"
"2019","유럽","오스트리아","12,570","0.07","725","0.04","2,778","0.06","2,474","0.06","2,095","0.08","1,910","0.09","1,166","0.07","1,422","0.14"
"2019","유럽","핀란드","13,912","0.08","857","0.05","2,601","0.06","1,895","0.05","2,006","0.08","1,565","0.07","679","0.04","4,309","0.41"
"2019","유럽","벨기에","14,539","0.08","1,061","0.06","3,401","0.08","2,605","0.07","2,538","0.10","2,371","0.11","1,284","0.07","1,279","0.12"
"2019","유럽","크로아티아","5,962","0.03","80","0.00","649","0.01","919","0.02","782","0.03","487","0.02","193","0.01","2,852","0.27"
"2019","유럽","그리스","9,756","0.06","332","0.02","1,209","0.03","2,079","0.05","1,567","0.06","1,108","0.05","681","0.04","2,780","0.27"
"2019","유럽","불가리아","6,536","0.04","241","0.01","784","0.02","850","0.02","846","0.03","534","0.02","248","0.01","3,033","0.29"
"2019","유럽","덴마크","13,453","0.08","1,355","0.08","3,357","0.08","1,908","0.05","2,464","0.09","2,225","0.10","1,034","0.06","1,110","0.11"
"2019","유럽","아일랜드","10,211","0.06","531","0.03","2,682","0.06","2,347","0.06","1,789","0.07","1,297","0.06","817","0.05","748","0.07"
"2019","유럽","유럽 기타","45,810","0.26","2,603","0.16","9,585","0.22","8,800","0.23","6,483","0.24","3,567","0.16","2,299","0.13","12,473","1.20"
"2019","유럽 소계","","1,095,256","6.26","95,110","5.68","225,791","5.17","215,296","5.63","171,494","6.46","136,013","6.14","82,464","4.77","169,088","16.27"
"2019","오세아니아","오스트레일리아","173,218","0.99","24,197","1.45","27,884","0.64","28,614","0.75","29,531","1.11","25,771","1.16","32,743","1.89","4,478","0.43"
"2019","오세아니아","뉴질랜드","38,954","0.22","4,882","0.29","7,040","0.16","7,088","0.19","5,330","0.20","6,532","0.30","6,204","0.36","1,878","0.18"
"2019","오세아니아","오세아니아 기타","5,819","0.03","478","0.03","1,130","0.03","1,306","0.03","972","0.04","630","0.03","313","0.02","990","0.10"
"2019","오세아니아 소계","","217,991","1.25","29,557","1.77","36,054","0.83","37,008","0.97","35,833","1.35","32,933","1.49","39,260","2.27","7,346","0.71"
"2019","아프리카","남아프리카공화국","13,144","0.08","466","0.03","4,143","0.09","2,638","0.07","1,508","0.06","1,238","0.06","699","0.04","2,452","0.24"
"2019","아프리카","아프리카 기타","47,115","0.27","2,024","0.12","9,939","0.23","11,430","0.30","7,676","0.29","4,245","0.19","1,326","0.08","10,475","1.01"
"2019","아프리카 소계","","60,259","0.34","2,490","0.15","14,082","0.32","14,068","0.37","9,184","0.35","5,483","0.25","2,025","0.12","12,927","1.24"
"2019","기타","국적미상","612","0.00","25","0.00","89","0.00","117","0.00","108","0.00","96","0.00","63","0.00","114","0.01"
"2019","기타 소계","","612","0.00","25","0.00","89","0.00","117","0.00","108","0.00","96","0.00","63","0.00","114","0.01"
"2019","교포","교포","192,502","1.10","5,522","0.33","14,242","0.33","19,762","0.52","39,582","1.49","56,504","2.55","56,890","3.29","0","0.00"
"2019","교포 소계","","192,502","1.10","5,522","0.33","14,242","0.33","19,762","0.52","39,582","1.49","56,504","2.55","56,890","3.29","0","0.00"
"2019 소계","","","17,502,756","100.00","1,673,034","100.00","4,369,975","100.00","3,821,839","100.00","2,654,834","100.00","2,213,962","100.00","1,730,039","100.00","1,039,073","100.00"
"총 합계","","","17,502,756","0.00","1,673,034","0.00","4,369,975","0.00","3,821,839","0.00","2,654,834","0.00","2,213,962","0.00","1,730,039","0.00","1,039,073","0.00"
